Index	Reference genome order	Pan-Block size(bp)
1	CXB;PCD;OIB;ECD04;Z1v2;PCB;BRO;TUE;PCA;TUA;MIZ;CXA;CFv4;CCB;PCC;TCA;TUB;A03;CCA;PCE;LongYou	980,335,740 
2	LongYou;PCE;BRO;PCC;CXB;CCB;CCA;OIB;MIZ;CFv4;A03;TCA;PCB;Z1v2;PCA;TUA;TUB;ECD04;CXA;TUE;PCD	978,832,450 
3	Z1v2;PCE;PCA;CFv4;OIB;CCB;CCA;LongYou;CXA;PCB;TUB;TCA;ECD04;PCD;TUA;BRO;PCC;CXB;A03;MIZ;TUE	974,424,817 
4	MIZ;CXB;CFv4;PCC;TUB;TUA;PCB;CCA;PCD;CXA;CCB;TUE;TCA;PCE;Z1v2;BRO;PCA;LongYou;OIB;A03;ECD04	981,842,478 
5	PCC;PCA;CXB;PCE;OIB;CFv4;TCA;A03;CXA;MIZ;TUA;CCA;TUB;ECD04;TUE;BRO;Z1v2;PCD;PCB;CCB;LongYou	962,879,473 
6	OIB;PCE;PCD;BRO;CCA;MIZ;TUB;PCA;A03;CFv4;TUE;PCC;CCB;TCA;CXB;Z1v2;LongYou;ECD04;TUA;PCB;CXA	978,041,852 
7	CXA;PCA;ECD04;Z1v2;TUB;PCE;PCB;TUA;TCA;PCD;MIZ;OIB;CCB;LongYou;A03;CFv4;CXB;CCA;BRO;TUE;PCC	983,290,208 
8	A03;PCD;CFv4;CXA;CCA;MIZ;PCB;TCA;CXB;CCB;TUA;ECD04;Z1v2;PCC;TUE;BRO;TUB;PCA;PCE;LongYou;OIB	960,416,523 
9	CXA;A03;CCA;PCC;BRO;CCB;PCD;OIB;Z1v2;PCB;MIZ;PCA;TUB;TUE;PCE;LongYou;TCA;ECD04;CXB;TUA;CFv4	968,464,467 
10	MIZ;TCA;PCA;CXB;PCD;Z1v2;TUB;TUA;LongYou;CFv4;TUE;CCB;CXA;ECD04;CCA;BRO;PCE;A03;PCC;PCB;OIB	989,044,153 
11	PCE;TUA;BRO;TCA;CCA;CFv4;MIZ;CXA;PCC;CXB;TUE;CCB;ECD04;PCD;OIB;PCB;A03;PCA;TUB;Z1v2;LongYou	973,068,750 
12	LongYou;OIB;MIZ;TUB;PCE;Z1v2;CCA;CFv4;PCA;TCA;CXA;PCD;A03;TUA;ECD04;TUE;PCB;BRO;CXB;CCB;PCC	995,033,382 
13	Z1v2;CFv4;PCA;MIZ;TUE;A03;TCA;CXA;PCD;TUA;CCB;ECD04;CCA;PCB;TUB;PCE;OIB;LongYou;PCC;CXB;BRO	978,697,634 
14	OIB;TUB;ECD04;TUA;PCE;CCB;PCC;CCA;CXA;MIZ;TCA;PCB;BRO;Z1v2;PCD;TUE;PCA;CFv4;CXB;LongYou;A03	991,417,668 
15	CXA;CXB;Z1v2;PCD;ECD04;TCA;PCE;MIZ;TUE;CFv4;PCB;BRO;LongYou;PCC;CCB;PCA;TUA;OIB;CCA;TUB;A03	970,357,119 
16	PCD;PCA;TUA;MIZ;TUE;CCB;TCA;CXB;CCA;PCE;PCB;BRO;PCC;OIB;ECD04;A03;LongYou;TUB;CFv4;Z1v2;CXA	967,563,698 
17	Z1v2;CFv4;OIB;PCB;PCA;CCB;CXB;CCA;A03;ECD04;PCC;TUB;TUE;CXA;BRO;TCA;PCE;TUA;LongYou;PCD;MIZ	979,641,594 
18	A03;TUA;CXA;PCC;PCA;MIZ;TUE;CFv4;CCB;CCA;TUB;LongYou;OIB;CXB;PCD;PCB;PCE;Z1v2;TCA;ECD04;BRO	973,917,173 
19	PCA;PCC;MIZ;LongYou;CXB;OIB;CCA;TCA;PCB;TUB;Z1v2;TUE;ECD04;TUA;BRO;PCD;CCB;CFv4;PCE;CXA;A03	983,396,306 
20	CXA;PCA;PCD;A03;Z1v2;ECD04;BRO;TUB;CFv4;LongYou;TUA;CCB;TUE;OIB;PCC;MIZ;CCA;PCB;TCA;PCE;CXB	974,717,254 
21	PCC;TCA;PCB;PCD;MIZ;TUE;A03;PCA;TUB;CXB;OIB;CXA;CCB;LongYou;Z1v2;BRO;CCA;CFv4;TUA;PCE;ECD04	976,588,966 
22	CCA;TUB;PCB;A03;TUE;TCA;TUA;CXB;PCE;CXA;CCB;PCA;ECD04;OIB;LongYou;PCD;MIZ;Z1v2;BRO;CFv4;PCC	982,082,110 
23	TUA;PCA;A03;CCB;BRO;TUB;PCD;PCE;CXA;TUE;LongYou;PCB;Z1v2;MIZ;CFv4;OIB;CXB;CCA;ECD04;PCC;TCA	980,511,220 
24	PCC;TUA;PCA;CCB;PCD;CXA;MIZ;BRO;Z1v2;PCE;CCA;CFv4;A03;TUE;CXB;TCA;PCB;OIB;ECD04;LongYou;TUB	967,697,065 
25	PCA;CFv4;MIZ;PCC;PCE;Z1v2;BRO;CCB;PCB;CXA;ECD04;CCA;TCA;LongYou;OIB;TUB;A03;TUE;CXB;TUA;PCD	973,868,298 
26	CXB;ECD04;TCA;LongYou;PCE;CFv4;PCB;PCC;TUE;CXA;Z1v2;A03;PCA;BRO;OIB;TUA;CCA;CCB;TUB;PCD;MIZ	976,535,982 
27	CCA;TUE;MIZ;TCA;CXA;CCB;PCA;TUB;PCC;PCD;BRO;PCB;CXB;PCE;CFv4;TUA;LongYou;OIB;ECD04;Z1v2;A03	975,806,334 
28	PCC;ECD04;CCA;TUB;PCE;LongYou;CCB;PCA;PCD;OIB;Z1v2;PCB;TUE;TCA;BRO;A03;MIZ;CXB;CFv4;TUA;CXA	981,979,373 
29	CFv4;PCB;BRO;Z1v2;CXB;LongYou;CXA;A03;PCC;CCA;MIZ;OIB;PCA;TCA;PCD;CCB;PCE;TUA;TUB;TUE;ECD04	980,376,716 
30	TUE;PCC;CFv4;PCA;A03;Z1v2;PCD;CXB;LongYou;TCA;MIZ;PCB;PCE;TUB;TUA;CCA;ECD04;CXA;BRO;CCB;OIB	974,420,133 
31	A03;LongYou;MIZ;PCA;CXB;TUE;CXA;BRO;PCE;PCC;ECD04;CCA;PCB;CFv4;TUA;OIB;TCA;PCD;CCB;Z1v2;TUB	977,691,973 
32	CCA;CXB;CXA;PCA;A03;TCA;PCE;PCB;ECD04;PCC;CCB;TUE;PCD;TUB;CFv4;BRO;LongYou;OIB;MIZ;TUA;Z1v2	956,009,781 
33	CXB;PCB;PCE;OIB;CFv4;PCA;CCA;CCB;TUB;A03;BRO;LongYou;ECD04;PCD;TCA;PCC;TUE;CXA;Z1v2;TUA;MIZ	968,359,591 
34	MIZ;TUA;CXA;Z1v2;PCE;PCD;ECD04;CFv4;TUE;PCB;LongYou;TCA;CCA;BRO;CCB;PCC;OIB;PCA;A03;TUB;CXB	981,458,947 
35	PCB;A03;CFv4;TUE;ECD04;LongYou;PCE;TCA;CCB;PCD;BRO;CXB;PCC;Z1v2;MIZ;CXA;CCA;PCA;TUA;TUB;OIB	969,741,948 
36	CXA;TUB;CCA;PCC;ECD04;BRO;TUA;PCB;A03;MIZ;LongYou;OIB;TCA;Z1v2;CFv4;CXB;TUE;PCA;CCB;PCD;PCE	990,953,222 
37	PCE;OIB;PCB;BRO;CFv4;MIZ;CCB;PCA;TUA;TCA;TUE;ECD04;CCA;LongYou;CXB;CXA;PCD;PCC;A03;TUB;Z1v2	976,935,860 
38	LongYou;TUE;TCA;TUA;PCD;PCA;PCB;TUB;PCC;OIB;A03;CCA;MIZ;PCE;CFv4;Z1v2;CXB;BRO;CCB;ECD04;CXA	983,707,818 
39	PCE;BRO;CFv4;CCB;TUE;PCD;TUB;PCA;ECD04;TCA;PCC;CCA;PCB;A03;Z1v2;TUA;CXA;OIB;MIZ;CXB;LongYou	974,746,673 
40	MIZ;Z1v2;CCB;PCC;CXA;OIB;A03;TUE;PCA;TCA;LongYou;CFv4;CCA;CXB;BRO;PCD;ECD04;PCE;TUA;PCB;TUB	984,272,633 
41	CXA;LongYou;TUE;MIZ;CFv4;OIB;PCC;Z1v2;A03;PCA;TUA;CCB;TCA;TUB;PCB;CXB;PCE;BRO;PCD;ECD04;CCA	984,553,391 
42	A03;ECD04;TUE;CCA;Z1v2;PCB;CCB;PCA;PCD;TCA;OIB;TUB;MIZ;CXA;CFv4;CXB;PCE;LongYou;PCC;TUA;BRO	973,979,284 
43	CCB;CXB;TUB;MIZ;CCA;PCB;TUE;TUA;BRO;CFv4;A03;CXA;TCA;PCD;Z1v2;LongYou;PCA;PCE;OIB;PCC;ECD04	987,333,201 
44	Z1v2;TUE;CCB;PCA;TUB;BRO;CCA;TCA;PCE;PCD;CXB;OIB;PCB;MIZ;CXA;TUA;ECD04;LongYou;A03;CFv4;PCC	984,816,030 
45	PCA;Z1v2;PCC;A03;BRO;OIB;PCE;TCA;CFv4;CXA;CCB;TUE;CXB;PCB;TUB;ECD04;LongYou;CCA;PCD;MIZ;TUA	976,217,925 
46	PCB;TUA;BRO;LongYou;PCE;PCD;TCA;MIZ;ECD04;CXB;OIB;A03;TUB;CFv4;PCA;CCB;CXA;Z1v2;CCA;PCC;TUE	985,076,069 
47	OIB;PCA;CXB;Z1v2;ECD04;MIZ;CFv4;LongYou;PCE;CCB;TUB;A03;BRO;TCA;PCB;TUA;CXA;TUE;PCD;CCA;PCC	988,082,663 
48	BRO;PCA;A03;TUA;PCD;Z1v2;TUB;OIB;LongYou;CXB;TCA;PCB;PCC;PCE;CCA;MIZ;TUE;CCB;CFv4;ECD04;CXA	990,912,307 
49	PCA;A03;TUA;PCC;PCB;PCD;TUB;PCE;BRO;MIZ;OIB;CFv4;Z1v2;CXA;CCB;CCA;TCA;TUE;ECD04;LongYou;CXB	972,748,449 
50	CXB;PCB;A03;CFv4;Z1v2;CXA;CCB;TUA;CCA;BRO;TUB;TCA;OIB;TUE;LongYou;PCA;PCC;PCE;PCD;ECD04;MIZ	974,468,750 
51	CXB;PCA;CCA;MIZ;PCC;PCB;OIB;TUE;A03;CCB;TUA;BRO;CXA;PCD;CFv4;PCE;LongYou;TUB;Z1v2;ECD04;TCA	968,470,718 
52	LongYou;CCB;TCA;OIB;PCD;PCE;PCC;CCA;BRO;PCA;CXB;TUB;ECD04;MIZ;CXA;TUA;A03;PCB;Z1v2;TUE;CFv4	975,860,549 
53	TUE;BRO;TUA;CXB;ECD04;A03;PCC;LongYou;MIZ;PCE;OIB;CCB;PCD;CCA;CXA;PCA;PCB;Z1v2;TCA;TUB;CFv4	982,497,112 
54	CXB;PCD;PCC;A03;TUA;BRO;CXA;Z1v2;TUB;OIB;CFv4;CCB;TCA;PCB;CCA;LongYou;TUE;PCE;PCA;MIZ;ECD04	975,026,096 
55	CCB;CXA;CFv4;TUB;MIZ;TUA;PCE;CCA;CXB;ECD04;PCA;TUE;Z1v2;A03;PCB;TCA;OIB;BRO;PCD;LongYou;PCC	975,859,560 
56	MIZ;CFv4;CCA;CCB;LongYou;BRO;TUA;PCC;A03;PCD;TCA;CXA;OIB;TUE;Z1v2;PCA;PCE;TUB;PCB;ECD04;CXB	978,175,301 
57	CXA;PCA;ECD04;TUB;CXB;LongYou;CFv4;OIB;CCB;TUE;BRO;Z1v2;PCE;TCA;PCC;TUA;MIZ;A03;PCD;CCA;PCB	986,659,049 
58	OIB;LongYou;CXB;CXA;A03;TUA;PCD;ECD04;PCA;MIZ;PCC;CCB;TCA;PCB;CCA;Z1v2;TUE;CFv4;PCE;BRO;TUB	979,890,101 
59	CXB;ECD04;TUB;TUA;TCA;MIZ;CCA;Z1v2;CFv4;PCA;CCB;TUE;LongYou;CXA;PCB;BRO;PCE;PCD;OIB;PCC;A03	997,361,764 
60	A03;BRO;LongYou;PCB;PCA;CXA;TUB;ECD04;MIZ;PCD;TCA;CFv4;TUE;OIB;CXB;PCE;PCC;CCA;TUA;CCB;Z1v2	987,054,954 
61	ECD04;BRO;TUB;TCA;PCC;OIB;PCB;TUA;CFv4;PCA;PCE;PCD;CCB;MIZ;CCA;LongYou;CXA;A03;Z1v2;CXB;TUE	990,678,464 
62	PCA;PCD;ECD04;PCC;CCA;CXA;TCA;CFv4;Z1v2;PCE;PCB;CXB;A03;TUB;MIZ;CCB;BRO;TUE;TUA;OIB;LongYou	963,349,481 
63	CFv4;TUE;TCA;OIB;PCC;TUB;BRO;ECD04;LongYou;PCD;PCB;Z1v2;PCA;PCE;TUA;A03;CXB;MIZ;CCB;CCA;CXA	987,014,896 
64	MIZ;Z1v2;PCE;ECD04;CFv4;LongYou;OIB;TUA;PCD;CXA;CCB;BRO;PCA;TUE;TUB;TCA;CXB;PCC;A03;PCB;CCA	986,499,232 
65	Z1v2;PCC;PCA;CFv4;TCA;CCB;PCD;TUE;CXB;TUB;BRO;LongYou;PCE;CXA;TUA;MIZ;PCB;OIB;A03;ECD04;CCA	978,532,391 
66	A03;Z1v2;PCA;PCC;CXB;CXA;CFv4;PCE;BRO;TUA;PCB;CCB;CCA;TUE;ECD04;PCD;OIB;MIZ;TCA;TUB;LongYou	970,899,952 
67	TUE;PCD;LongYou;BRO;CCB;Z1v2;PCA;ECD04;PCE;A03;TCA;MIZ;CXB;CFv4;PCC;OIB;CXA;CCA;TUA;TUB;PCB	979,977,226 
68	PCE;PCA;PCD;CXB;TUE;TUB;CXA;CFv4;ECD04;CCA;TUA;A03;LongYou;PCC;MIZ;CCB;Z1v2;BRO;PCB;OIB;TCA	965,985,075 
69	CXA;TUB;CCA;TCA;OIB;MIZ;PCD;PCA;ECD04;Z1v2;CXB;TUA;PCC;TUE;A03;PCB;CCB;LongYou;BRO;PCE;CFv4	986,929,698 
70	ECD04;TUE;CXA;CCA;TUB;MIZ;OIB;TCA;CCB;PCB;PCE;CXB;TUA;Z1v2;PCD;BRO;LongYou;PCC;PCA;A03;CFv4	983,997,336 
71	CCB;TUA;CXA;BRO;LongYou;TCA;ECD04;CCA;A03;TUE;PCD;PCA;OIB;Z1v2;PCB;PCC;PCE;TUB;CXB;CFv4;MIZ	977,567,604 
72	BRO;A03;PCE;MIZ;TUB;LongYou;OIB;PCB;PCD;Z1v2;TUE;CCB;TCA;CXA;ECD04;TUA;PCC;CFv4;CXB;PCA;CCA	991,738,692 
73	PCA;CXA;TCA;A03;MIZ;CFv4;PCC;ECD04;Z1v2;BRO;TUB;PCB;CCB;LongYou;CCA;PCE;CXB;OIB;PCD;TUA;TUE	972,249,004 
74	CCB;CXA;TUB;PCC;ECD04;TUA;OIB;TCA;PCB;CXB;CFv4;LongYou;TUE;Z1v2;PCD;BRO;A03;CCA;PCE;MIZ;PCA	981,817,723 
75	CCA;BRO;TUA;OIB;LongYou;TUB;ECD04;CFv4;CCB;A03;Z1v2;TUE;CXA;MIZ;PCD;PCC;CXB;PCB;PCA;PCE;TCA	993,704,085 
