Chr	Start	End	Genome
A01	32733	97573	CFv4
A01	107725	139886	CFv4
A01	142494	183375	CFv4
A01	183813	208739	CFv4
A01	211056	274306	CFv4
A01	287858	719777	CFv4
A01	720213	858661	CFv4
A01	881716	893416	CFv4
A01	896665	923150	CFv4
A01	924004	978255	CFv4
A01	988768	1052417	CFv4
A01	1061811	1092113	CFv4
A01	1098181	1138704	CFv4
A01	1140050	1215009	CFv4
A01	1215228	1597915	CFv4
A01	1614342	1920120	CFv4
A01	1925617	2170165	CFv4
A01	2172025	2498177	CFv4
A01	2500968	2663022	CFv4
A01	2666065	2737307	CFv4
A01	2739410	2800913	CFv4
A01	2805535	2982081	CFv4
A01	2982447	3147859	CFv4
A01	3156291	3315533	CFv4
A01	3326638	4016153	CFv4
A01	4022327	4519963	CFv4
A01	4525572	4551072	CFv4
A01	4559062	4579613	CFv4
A01	4670566	4690637	CFv4
A01	4693672	4709867	CFv4
A01	4710797	5122261	CFv4
A01	5124188	5169774	CFv4
A01	5173794	5221403	CFv4
A01	5224059	5477047	CFv4
A01	5485331	5965831	CFv4
A01	5990595	6044594	CFv4
A01	6045130	6201327	CFv4
A01	6202048	7275810	CFv4
A01	7277237	7307875	CFv4
A01	7313779	7381703	CFv4
A01	7385035	7422231	CFv4
A01	7438207	7454448	CFv4
A01	7457405	7480671	CFv4
A01	7482984	7516093	CFv4
A01	7520621	7553202	CFv4
A01	7554473	7838283	CFv4
A01	7866367	7898530	CFv4
A01	7901587	8095504	CFv4
A01	8099178	8143661	CFv4
A01	8153357	8183223	CFv4
A01	8189822	8317810	CFv4
A01	8322095	8574199	CFv4
A01	8574332	8856418	CFv4
A01	8857123	9214035	CFv4
A01	9216624	9380415	CFv4
A01	9381784	9582192	CFv4
A01	9584714	9612132	CFv4
A01	9612426	9769061	CFv4
A01	9775889	9833745	CFv4
A01	9834250	9865722	CFv4
A01	9867116	10686733	CFv4
A01	10687688	10767473	CFv4
A01	10779928	10832869	CFv4
A01	10836754	10963892	CFv4
A01	10963916	11086270	CFv4
A01	11090252	11135534	CFv4
A01	11136379	11173737	CFv4
A01	11204251	11225687	CFv4
A01	11244565	11334298	CFv4
A01	11335258	11740356	CFv4
A01	11740939	11771269	CFv4
A01	11771901	12192058	CFv4
A01	12192327	13672483	CFv4
A01	13676589	16176142	CFv4
A01	16178134	16190546	CFv4
A01	16392222	16406004	CFv4
A01	16502934	16517147	CFv4
A01	16676630	16694079	CFv4
A01	16701009	16717643	CFv4
A01	16725894	16737419	CFv4
A01	16748118	16762742	CFv4
A01	16772519	16788904	CFv4
A01	16791111	16905638	CFv4
A01	16920039	16934224	CFv4
A01	16934272	16949730	CFv4
A01	16972313	16995343	CFv4
A01	17082290	17101832	CFv4
A01	17133649	17144921	CFv4
A01	17172960	17200706	CFv4
A01	18029097	18042673	CFv4
A01	18155087	18167375	CFv4
A01	18334476	18359808	CFv4
A01	18366311	18446788	CFv4
A01	18489551	18502271	CFv4
A01	18513718	18533851	CFv4
A01	18547182	18567407	CFv4
A01	18611113	18624646	CFv4
A01	18628017	18640238	CFv4
A01	18642942	18660778	CFv4
A01	18670783	18699127	CFv4
A01	18760152	18821762	CFv4
A01	18853557	19259596	CFv4
A01	19321733	19342064	CFv4
A01	19502838	19522899	CFv4
A01	19535503	19555915	CFv4
A01	19560475	19580988	CFv4
A01	19599495	19674082	CFv4
A01	19760921	19780037	CFv4
A01	19780038	19814633	CFv4
A01	19846261	19901825	CFv4
A01	19902918	19922867	CFv4
A01	19942990	20091467	CFv4
A01	20149252	20182302	CFv4
A01	20308260	20327504	CFv4
A01	20330963	20370268	CFv4
A01	20371493	20416953	CFv4
A01	20432981	20638825	CFv4
A01	20639647	20788472	CFv4
A01	20800289	20996291	CFv4
A01	21000184	21099730	CFv4
A01	21133231	21207015	CFv4
A01	21211494	21335521	CFv4
A01	21347506	21413079	CFv4
A01	21413081	21430773	CFv4
A01	21430949	21450097	CFv4
A01	21466277	21497384	CFv4
A01	21523611	21545307	CFv4
A01	21548420	21853371	CFv4
A01	22059221	22081562	CFv4
A01	22131315	22205303	CFv4
A01	22207258	22465397	CFv4
A01	22504794	22514829	CFv4
A01	22527781	22538360	CFv4
A01	22613413	22644355	CFv4
A01	22649219	23210504	CFv4
A01	23210682	23265644	CFv4
A01	23265646	23309621	CFv4
A01	23309623	23589192	CFv4
A01	23589194	23677780	CFv4
A01	23677784	23752002	CFv4
A01	23764570	23829122	CFv4
A01	23895639	23936014	CFv4
A01	23975966	24143783	CFv4
A01	24148214	24299414	CFv4
A01	24311034	24359408	CFv4
A01	24373981	24446701	CFv4
A01	24456186	24526732	CFv4
A01	24575858	24599358	CFv4
A01	24652376	24689015	CFv4
A01	24689805	24863001	CFv4
A01	24869356	24891419	CFv4
A01	24906599	24963981	CFv4
A01	25014164	25042654	CFv4
A01	25064654	25092902	CFv4
A01	25095021	25158563	CFv4
A01	25163803	25206834	CFv4
A01	25206836	25312263	CFv4
A01	25319022	25518633	CFv4
A01	25523842	25599314	CFv4
A01	25607784	25643485	CFv4
A01	25644986	25693426	CFv4
A01	25738280	25776089	CFv4
A01	25820808	25912515	CFv4
A01	25912581	25951643	CFv4
A01	25954164	25997666	CFv4
A01	26011704	26059604	CFv4
A01	26142183	26208364	CFv4
A01	26215251	31516034	CFv4
